collision_index,food_density
2025010551786,32
2025010551795,34
2025010551802,5
2025010551812,1
2025010551864,1
2025010551873,14
2025010551892,10
2025010551896,25
2025010551897,72
2025010551913,1
2025010551965,12
2025010551982,3
2025010551994,6
2025010552007,4
2025010552008,33
2025010552017,10
2025010552026,1
2025010552029,26
2025010552042,124
2025010552072,16
2025010552073,1
2025010552090,1
2025010552095,18
2025010552105,1
2025010552118,50
2025010552125,39
2025010552130,48
2025010552147,2
2025010552153,1
2025010552162,24
2025010552167,98
2025010552169,13
2025010552170,17
2025010552177,12
2025010552179,15
2025010552187,15
2025010552197,28
2025010552217,4
2025010552226,1
2025010552235,6
2025010552238,27
2025010552245,16
2025010552253,5
2025010552256,14
2025010552289,1
2025010552303,21
2025010552305,16
2025010552310,5
2025010552317,1
2025010552322,91
2025010552326,8
2025010552338,6
2025010552341,37
2025010552352,116
2025010552357,23
2025010552358,34
2025010552361,11
2025010552362,5
2025010552378,1
2025010552389,1
2025010552415,4
2025010552460,1
2025010552466,5
2025010552469,2
2025010552473,1
2025010552478,63
2025010552491,3
2025010552506,18
2025010552517,4
2025010552521,52
2025010552527,13
2025010552538,8
2025010552547,8
2025010552555,43
2025010552562,11
2025010552567,6
2025010552577,37
2025010552588,33
2025010552595,4
2025010552601,8
2025010552608,25
2025010552620,3
2025010552623,15
2025010552633,44
2025010552636,3
2025010552637,21
2025010552638,4
2025010552642,117
2025010552647,1
2025010552666,3
2025010552690,9
2025010552728,66
2025010552733,23
2025010552747,11
2025010552751,28
2025010552754,48
2025010552755,18
2025010552762,1
2025010552764,5
2025010552766,19
2025010552775,12
2025010552777,14
2025010552782,1
2025010552783,9
2025010552803,1
2025010552814,13
2025010552816,12
2025010552830,1
2025010552842,1
2025010552845,9
2025010552849,22
2025010552851,49
2025010552853,1
2025010552857,1
2025010552860,26
2025010552867,95
2025010552883,1
2025010552885,4
2025010552892,45
2025010552895,1
2025010552905,29
2025010552916,15
2025010552928,15
2025010552930,11
2025010552935,23
2025010552952,3
2025010552953,59
2025010552959,3
2025010552969,50
2025010552973,199
2025010552984,33
2025010552986,1
2025010552992,1
2025010553001,5
2025010553005,6
2025010553015,2
2025010553021,50
2025010553025,3
2025010553032,1
2025010553051,19
2025010553057,23
2025010553063,12
2025010553070,13
2025010553084,60
2025010553101,1
2025010553107,3
2025010553118,1
2025010553119,8
2025010553124,65
2025010553131,123
2025010553136,22
2025010553142,82
2025010553144,7
2025010553148,22
2025010553150,5
2025010553153,1
2025010553159,1
2025010553162,1
2025010553177,1
2025010553178,11
2025010553199,24
2025010553205,19
2025010553231,23
2025010553259,47
2025010553268,10
2025010553276,97
2025010553284,21
2025010553297,16
2025010553298,20
2025010553302,1
2025010553332,11
2025010553335,70
2025010553354,30
2025010553362,6
2025010553379,2
2025010553387,1
2025010553391,53
2025010553406,1
2025010553410,44
2025010553418,6
2025010553429,1
2025010553443,59
2025010553456,1
2025010553459,3
2025010553462,6
2025010553476,1
2025010553480,431
2025010553496,27
2025010553512,28
2025010553536,6
2025010553539,44
2025010553575,3
2025010553590,18
2025010553599,15
2025010553608,103
2025010553630,10
2025010553640,131
2025010553660,5
2025010553664,6
2025010553668,10
2025010553672,1
2025010553702,13
2025010553705,26
2025010553706,7
2025010553710,90
2025010553717,41
2025010553725,16
2025010553731,2
2025010553738,12
2025010553757,10
2025010553761,18
2025010553763,10
2025010553766,8
2025010553788,19
2025010553804,25
2025010553825,3
2025010553827,13
2025010553829,22
2025010553831,1
2025010553850,1
2025010553856,34
2025010553857,30
2025010553875,11
2025010553877,5
2025010553882,8
2025010553887,1
2025010553888,1
2025010553892,81
2025010553898,15
2025010553902,103
2025010553906,19
2025010553913,105
2025010553917,12
2025010553925,50
2025010553935,53
2025010553944,34
2025010553953,1
2025010553969,2
2025010553978,8
2025010553979,60
2025010553984,15
2025010554001,1
2025010554002,18
2025010554003,1
2025010554008,13
2025010554019,11
2025010554038,21
2025010554044,6
2025010554076,19
2025010554092,9
2025010554093,1
2025010554142,12
2025010554144,12
2025010554152,1
2025010554155,93
2025010554158,140
2025010554159,18
2025010554161,12
2025010554164,58
2025010554173,1
2025010554193,1
2025010554201,14
2025010554206,3
2025010554215,5
2025010554229,1
2025010554233,14
2025010554240,11
2025010554254,1
2025010554255,100
2025010554261,51
2025010554263,8
2025010554264,68
2025010554268,6
2025010554272,22
2025010554275,1
2025010554288,22
2025010554291,71
2025010554301,1
2025010554312,23
2025010554314,16
2025010554321,16
2025010554349,3
2025010554350,22
2025010554361,32
2025010554362,1
2025010554366,15
2025010554379,6
2025010554382,33
2025010554383,14
2025010554384,1
2025010554399,17
2025010554408,42
2025010554409,1
2025010554412,20
2025010554421,1
2025010554426,1
2025010554430,26
2025010554467,17
2025010554469,11
2025010554474,18
2025010554477,70
2025010554480,13
2025010554487,34
2025010554513,13
2025010554515,61
2025010554517,66
2025010554522,24
2025010554544,9
2025010554555,1
2025010554557,40
2025010554559,72
2025010554562,4
2025010554563,15
2025010554573,5
2025010554576,2
2025010554592,31
2025010554604,17
2025010554607,29
2025010554608,1
2025010554615,18
2025010554621,7
2025010554622,2
2025010554626,50
2025010554628,83
2025010554646,9
2025010554659,31
2025010554684,10
2025010554700,53
2025010554708,1
2025010554746,9
2025010554750,2
2025010554753,33
2025010554762,1
2025010554766,2
2025010554769,88
2025010554781,17
2025010554788,14
2025010554793,1
2025010554796,31
2025010554809,59
2025010554819,2
2025010554823,14
2025010554832,15
2025010554838,12
2025010554843,11
2025010554851,48
2025010554854,1
2025010554865,37
2025010554869,28
2025010554883,10
2025010554892,1
2025010554916,40
2025010554919,113
2025010554921,15
2025010554922,106
2025010554926,8
2025010554931,6
2025010554945,12
2025010554946,4
2025010554947,30
2025010554960,15
2025010554961,1
2025010554966,26
2025010554969,71
2025010554970,50
2025010554987,3
2025010554993,41
2025010554995,8
2025010555006,5
2025010555010,1
2025010555014,55
2025010555021,47
2025010555032,15
2025010555036,9
2025010555047,3
2025010555052,41
2025010555064,17
2025010555065,20
2025010555074,15
2025010555109,23
2025010555110,291
2025010555114,37
2025010555115,4
2025010555121,6
2025010555128,44
2025010555186,79
2025010555198,81
2025010555218,19
2025010555225,1
2025010555226,3
2025010555239,2
2025010555243,70
2025010555251,15
2025010555255,15
2025010555257,14
2025010555264,54
2025010555266,14
2025010555272,70
2025010555282,5
2025010555285,400
2025010555288,13
2025010555290,15
2025010555291,47
2025010555295,22
2025010555296,13
2025010555298,65
2025010555302,33
2025010555307,1
2025010555310,1
2025010555318,11
2025010555320,61
2025010555328,64
2025010555331,1
2025010555336,7
2025010555341,14
2025010555348,12
2025010555355,130
2025010555360,93
2025010555361,19
2025010555374,12
2025010555380,55
2025010555398,41
2025010555404,11
2025010555406,8
2025010555413,8
2025010555428,32
2025010555429,46
2025010555433,4
2025010555442,45
2025010555444,1
2025010555445,1
2025010555446,24
2025010555456,8
2025010555460,70
2025010555462,1
2025010555464,23
2025010555465,5
2025010555466,61
2025010555475,2
2025010555500,1
2025010555505,5
2025010555507,15
2025010555520,41
2025010555524,1
2025010555535,1
2025010555552,57
2025010555564,84
2025010555573,1
2025010555583,45
2025010555589,47
2025010555594,8
2025010555601,4
2025010555605,74
2025010555619,11
